Churn_Type,Key_Indicators,Recommended_Products,Retention_Offers,Preferred_Channel,AGE,CUS_Month_Income,CUS_Gender,CUS_Marital_Status
Competitor-Driven,"Competitor-Driven indicators like transaction patterns, complaints, or engagement","Wealth management, Exclusive offers",Waive monthly fees,Email,39,25000,Female,Divorced
Competitor-Driven,"Competitor-Driven indicators like transaction patterns, complaints, or engagement","Competitive loan rates, Exclusive offers",Cashback offers,SMS,59,80000,Female,Single
Service Dissatisfied,"Service Dissatisfied indicators like transaction patterns, complaints, or engagement","Concierge banking, Priority services",Reward points,Phone,60,15000,Female,Widowed
Credit-Seeking,"Credit-Seeking indicators like transaction patterns, complaints, or engagement","Credit cards, Low-interest EMI plans",Reward points,SMS,50,80000,Female,Single
Fee Sensitive,"Fee Sensitive indicators like transaction patterns, complaints, or engagement","Debit card cashback, Basic credit card",Priority customer care,SMS,61,200000,Male,Divorced
Dormant Account,"Dormant Account indicators like transaction patterns, complaints, or engagement","Reactivation offers, Zero balance accounts",Dedicated RM support,Branch,56,15000,Female,Divorced
Low Engagement,"Low Engagement indicators like transaction patterns, complaints, or engagement","Reward accounts, Goal-based savings",Waive monthly fees,Email,62,25000,Female,Widowed
High Net Worth Attrition,"High Net Worth Attrition indicators like transaction patterns, complaints, or engagement","Wealth management, Private banking",Personalized investment tips,Email,47,40000,Male,Single
Credit-Seeking,"Credit-Seeking indicators like transaction patterns, complaints, or engagement","Credit cards, Low-interest EMI plans",Priority customer care,Branch,57,60000,Female,Divorced
Competitor-Driven,"Competitor-Driven indicators like transaction patterns, complaints, or engagement","Exclusive offers, Competitive loan rates",Dedicated RM support,Mobile App,30,200000,Male,Widowed
High Net Worth Attrition,"High Net Worth Attrition indicators like transaction patterns, complaints, or engagement","Wealth management, Private banking",Cashback offers,Phone,59,25000,Male,Widowed
Interest Rate Sensitive,"Interest Rate Sensitive indicators like transaction patterns, complaints, or engagement","Flexible RD plans, Fixed deposits",Match competitor offers,Mobile App,34,40000,Female,Widowed
High Net Worth Attrition,"High Net Worth Attrition indicators like transaction patterns, complaints, or engagement","Wealth management, Private banking",Dedicated RM support,Mobile App,36,40000,Male,Divorced
High Net Worth Attrition,"High Net Worth Attrition indicators like transaction patterns, complaints, or engagement","Private banking, Premium cards",Cashback offers,Branch,43,15000,Male,Married
Credit-Seeking,"Credit-Seeking indicators like transaction patterns, complaints, or engagement","Personal loans, Credit cards",Cashback offers,SMS,40,40000,Female,Married
Low Engagement,"Low Engagement indicators like transaction patterns, complaints, or engagement","Goal-based savings, Personal finance tools",Personalized investment tips,Mobile App,29,40000,Male,Divorced
Competitor-Driven,"Competitor-Driven indicators like transaction patterns, complaints, or engagement","Competitive loan rates, Exclusive offers",Cashback offers,Email,18,40000,Female,Married
Dormant Account,"Dormant Account indicators like transaction patterns, complaints, or engagement","Zero balance accounts, Engagement rewards",Dedicated RM support,Email,49,40000,Female,Widowed
Dormant Account,"Dormant Account indicators like transaction patterns, complaints, or engagement","Engagement rewards, Zero balance accounts",Match competitor offers,SMS,65,25000,Male,Widowed
Fee Sensitive,"Fee Sensitive indicators like transaction patterns, complaints, or engagement","Debit card cashback, Basic credit card",Priority customer care,Mobile App,62,25000,Female,Single
Fee Sensitive,"Fee Sensitive indicators like transaction patterns, complaints, or engagement","No-fee savings account, Basic credit card",Instant approvals,Branch,33,40000,Female,Divorced
Interest Rate Sensitive,"Interest Rate Sensitive indicators like transaction patterns, complaints, or engagement","Flexible RD plans, High-yield savings",Dedicated RM support,SMS,22,60000,Male,Widowed
Dormant Account,"Dormant Account indicators like transaction patterns, complaints, or engagement","Engagement rewards, Reactivation offers",Dedicated RM support,Mobile App,20,25000,Male,Single
